id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
88,"Krogh, S.A., Pomeroy, J.W. and Marsh, P., 2017. Diagnosis of the hydrology of a small Arctic basin at the tundra-taiga transition using a physically based hydrological model. Journal of hydrology, 550, pp.685-703.",https://doi.org/10.1016/j.jhydrol.2017.05.042,"Havikpak Creek, Northwest Territories",3,"Conceptual model of Havikpak Creek Basin hydrology. Sketch by Lucia Scaff, University of Saskatchewan.",https://ars.els-cdn.com/content/image/1-s2.0-S0022169417303359-gr3.jpg,CC-BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,Season,Winter/summer,2,Vegetation described,Vegetation icons shown,Soil types described,Soil types shown,N,N,Slopes described,Slopes described,N,N,N,N,N,12.0,"Snow drifting, Sublimation during blowing snow events, Attenuation, Canopy evaporation, Snowmelt, Infiltration, Organic layer interflow, Evapotranspiration, Subsurface stormflow, Overland Flow, Canopy Interception, Canopy sublimation",12.0,Snow interception and sublimation,Canopy interception,Snow interception and sublimation,Canopy sublimation,Blowing snow transport and sublimation,Snow drifting,Blowing snow transport and sublimation,Sublimation during blowing snow events,Snowmelt,Snowmelt,Rain interception and evaporation,Canopy evaporation,Evapotranspiration,Evapotranspiration,Overland flow,Overland flow,Flow through mineral soil and organic terrain,Subsurface stormflow,Flow through mineral soil and organic terrain,Organic layer interflow,Infiltration,Infiltration,Streamflow routing,Attenuation,,,,,3.0,"Permafrost storage, Channel storage, Seasonal soil freeze/thaw",3.0,Permafrost,Permafrost storage,Ground freeze/thaw,Seasonal soil freeze/thaw,Stream,Channel storage,,,,,,,,,,,,,,
89,"Johansson, E., Gustafsson, L.G., Berglund, S., Lindborg, T., Selroos, J.O., Liljedahl, L.C. and Destouni, G., 2015. Data evaluation and numerical modeling of hydrological interactions between active layer, lake and talik in a permafrost catchment, Western Greenland. Journal of Hydrology, 527, pp.688-703.",https://doi.org/10.1016/j.jhydrol.2015.05.026,"Two Boat Lake, Kangerlussuaq",5,Conceptual model of the hydrological flows during the active (A) and frozen (B) period in the Two Boat Lake catchment.,https://ars.els-cdn.com/content/image/1-s2.0-S0022169415003765-gr5.jpg,CC-BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,Season,Frozen period processes/active period processes,2,N,N,Soil types described,Soil types shown,N,N,Slopes described,Slopes described,N,N,N,N,N,7.0,"Evapotranspiration, Overland Flow, Snow drifting, Subsurface stormflow, Sublimation, Gaining stream, Open water evaporation",7.0,ET,Evapotranspiration,E,Open water evaporation,Surface water runoff,Overland flow,Runoff from active layer,Subsurface stormflow,Water exchange with the talik,Gaining stream,Sublimation,Sublimation,Snow drifting,Snow drifting,,,,,,,,,,,,,,,4.0,"Seasonal soil freeze/thaw, Snow storage, Permafrost storage, Lake storage",4.0,Permafrost,Permafrost storage,Frozen active layer,Seasonal soil freeze/thaw,Irregular snowpack,Snow storage,Lake,Lake storage,,,,,,,,,,,,
90,"Penny, G., Dar, Z.A. and Müller, M.F., 2022. Climatic and anthropogenic drivers of a drying Himalayan river. Hydrology and Earth System Sciences, 26(2), pp.375-395.",https://doi.org/10.5194/hess-26-375-2022,Upper Jhelum watershed,10,Conceptual diagram of seasonal water fluxes and direction of change.,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/8ca64e890335455c9a15fe5cbd7a461b/data,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Season,Spring/summer/fall/winter,4,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,3D graphics,3D graphics,N,N,N,6.0,"Losing stream, Vertical drainage to groundwater, Snowmelt, Evapotranspiration, Gaining stream, Groundwater flow",6.0,Evapotranspiration,Evapotranspiration,Snowmelt ,Snowmelt ,Springtime seepage,Vertical drainage to groundwater,Baseflow,Gaining stream,Losing conditions,Losing stream,Groundwater flux,Groundwater flow,,,,,,,,,,,,,,,,,4.0,"Lake storage, Snow storage, Channel storage, Groundwater storage",4.0,Snowpack storage,Snow storage,Lake,Lake storage,Stream,Channel storage,Groundwater,Groundwater storage,,,,,,,,,,,,
91,"Liu, F., Lerch, R.N., Yang, J. and Peters, G., 2020. Determining hydrologic pathways of streamflow using geochemical tracers in a claypan watershed. Hydrological Processes, 34(11), pp.2494-2509.",https://doi.org/10.1002/hyp.13743,"Goodwater Creek, Missouri",8,Not open-access,https://onlinelibrary-wiley-com.libproxy.sdsu.edu/cms/asset/ab4f3849-488b-4c07-a9a2-741c94686ba3/hyp13743-fig-0008-m.jpg,Not open-access,,N,N,1,N,N,1,N,N,Soil types described,Soil types shown,Geological types described,Rock types shown,Slopes described,Slopes described,N,N,N,N,N,6.0,"Mixing, Lateral matrix flow at soil horizons, Overland Flow, Vertical drainage to groundwater, Groundwater flow, Groundwater flow",6.0,Near-Surface runoff,Overland flow,Interflow above claypan,Lateral matrix flow at soil horizons,Groundwater from intermediate aquifer,Groundwater flow,Groundwater from deeper glacial till aquifer,Groundwater flow,Groundwater recharge,Vertical drainage to groundwater,Mixing,Mixing,,,,,,,,,,,,,,,,,5.0,"Channel storage, Soil water storage, Groundwater storage, Riparian aquifer storage, Soil stratification",5.0,Alluvial aquifer,Riparian aquifer storage,Stream,Channel storage,Aquifer,Groundwater storage,Topsoil,Soil water storage,Claypan,Soil stratification,,,,,,,,,,
92,"Hugenschmidt, C., Ingwersen, J., Sangchan, W., Sukvanachaikul, Y., Uhlenbrook, S. and Streck, T., 2010. Hydrochemical analysis of stream water in a tropical, mountainous headwater catchment in northern Thailand. Hydrology & Earth System Sciences Discussions, 7(2).",http://doi.org/10.5194/hessd-7-2187-2010,Mae Sa Noi watershed,10,Conceptual model of runoff generation at Mae Sa Noi hillslope during saturated and unsaturated conditions.,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/686bc19c71e34c1fa236d8fcb659361e/data,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Wetness,Saturated/unsaturated conditions,2,Vegetation described,Vegetation icons shown,N,N,N,N,Slopes described,Slopes described,3D graphics,3D graphics,N,N,N,7.0,"Infiltration, Gaining stream, Subsurface stormflow, Vertical drainage to groundwater, Infiltration excess flow, Return Flow, Saturation excess flow",7.0,Infiltration,Infiltration,Interflow,Subsurface stormflow,Baseflow,Gaining stream,Percolation,Vertical drainage to groundwater,Horton Overland flow,Infiltration excess flow,Saturation excess overland flow,Saturation excess flow,Return flow,Return Flow,,,,,,,,,,,,,,,4.0,"Groundwater storage, Water Table, Soil water storage, Channel storage",4.0,Soil,Soil water storage,Weathered bedrock,Groundwater storage,Groundwater,Water table,Stream water,Channel storage,,,,,,,,,,,,
93,"Xiao, X., Zhang, F., Che, T., Shi, X., Zeng, C. and Wang, G., 2020. Changes in plot-scale runoff generation processes from the spring–summer transition period to the summer months in a permafrost-dominated catchment. Journal of Hydrology, 587, p.124966.",https://doi.org/10.1016/j.jhydrol.2020.124966,"Yakou catchment, Qinghai",8,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0022169420304261-gr8_lrg.jpg,Not open-access,,N,N,1,Season and wetness,Spring-summer/summer and dry/wet,4,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,N,N,N,N,N,5.0,"Evapotranspiration, Snowmelt, Lateral matrix flow at soil horizons, Subsurface stormflow, Infiltration",6.0,Evapotranspiration,Evapotranspiration,Rainfall infiltration,Infiltration,Snowmelt water,Snowmelt,Shallow subsurface flow,Subsurface stormflow,Deep Subsurface flow,Lateral matrix flow at soil horizons,,,,,,,,,,,,,,,,,,,4.0,"Perched water tables, Seasonal soil freeze/thaw, Permafrost storage, Snow storage",4.0,Snow cover,Snow storage,Thawed soil,Seasonal soil freeze/thaw,Frozen soil,Permafrost storage,Saturated soil water,Perched water tables,,,,,,,,,,,,
94,"Vyse, S.A., Taie Semiromi, M., Lischeid, G. and Merz, C., 2020. Characterizing hydrological processes within kettle holes using stable water isotopes in the Uckermark of northern Brandenburg, Germany. Hydrological Processes, 34(8), pp.1868-1887.",https://doi.org/10.1002/hyp.13699,Quillow catchment,11,Conceptual model for the hydrologic connectivity between kettle holes across the Uckermark region of northern Brandenburg,https://onlinelibrary.wiley.com/cms/asset/9f08bcda-8ef0-4dd1-be4d-b24d6ef0c309/hyp13699-fig-0011-m.jpg,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,N,N,1,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,N,N,N,N,N,4.0,"Return Flow, Open water evaporation, Subsurface stormflow, Vertical drainage to groundwater",4.0,Evaporation,Open water evaporation,Throughflow,Subsurface stormflow,Recharge,Vertical drainage to groundwater,Discharge,Return flow,,,,,,,,,,,,,,,,,,,,,3.0,"Depression storage, Groundwater storage, Water Table",3.0,Shallow unconfined groundwater,Groundwater storage,Water table,Water table,Kettle holes,Depression storage,,,,,,,,,,,,,,
95,"Zhao, P., Tang, X., Zhao, P., Zhang, W. and Tang, J., 2016. Mixing of event and pre‐event water in a shallow Entisol in sloping farmland based on isotopic and hydrometric measurements, SW China. Hydrological Processes, 30(19), pp.3478-3493.",https://doi.org/10.1002/hyp.10867,Purple soil watershed,9,Not open-access,https://onlinelibrary.wiley.com/cms/asset/44324db6-5ed8-4775-8360-a398453fecc9/hyp10867-fig-0009-m.png,Not open-access,,N,N,1,Wetness,Beginning/during large storm,2,N,N,N,N,N,N,N,N,N,N,N,N,N,3.0,"Vertical macropore flow, Subsurface stormflow, Lateral macropore flow at soil-bedrock interface",3.0,Underflow,Lateral macropore flow at soil-bedrock interface,Interflow,Subsurface stormflow,Preferential flow,Vertical macropore flow,,,,,,,,,,,,,,,,,,,,,,,1.0,Soil saturation,1.0,Soils were saturated,Soil saturation,,,,,,,,,,,,,,,,,,
96,"Dash, S.K. and Sinha, R., 2022. Space-time dynamics of soil moisture and groundwater in an agriculture-dominated critical zone observatory (CZO) in the Ganga basin, India. Science of The Total Environment, 851, p.158231.",https://doi.org/10.1016/j.scitotenv.2022.158231,"Heart CZO, Ganga Basin",13,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S004896972205330X-gr13_lrg.jpg,Not open-access,,N,N,1,N,N,1,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,3D graphics,3D graphics,N,N,N,7.0,"Subsurface stormflow, Vertical drainage to groundwater, Evapotranspiration, Infiltration, Gaining stream, Losing stream, Overland Flow",7.0,Evapotranspiration,Evapotranspiration,Surface runoff,Overland flow,Recharge,Vertical drainage to groundwater,Percolation,Infiltration,Interflow,Subsurface stormflow,Base flow,Gaining stream,Lateral and vertical groundwater recharge,Losing stream,,,,,,,,,,,,,,,3.0,"Soil water storage, Groundwater storage, Channel storage",3.0,Vadose zone,Soil water storage,Groundwater saturated zone,Groundwater storage,CZO tributary stream,Channel storage,,,,,,,,,,,,,,
97,"Chen, X., Yu, Z., Yi, P., Aldahan, A., Hwang, H.T. and Sudicky, E.A., 2023. Disentangling runoff generation mechanisms: combining isotope tracing with integrated surface/subsurface simulation. Journal of Hydrology, p.129149.",https://doi.org/10.1016/j.jhydrol.2023.129149,"Mukeng catchment, Anhui",8,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0022169423000914-gr8_lrg.jpg,Not open-access,,N,N,1,N,N,2,Vegetation described,Vegetation icons shown,N,N,N,N,N,N,3D graphics,3D graphics,N,N,N,6.0,"Exfiltration, Channel flow, Infiltration, Subsurface stormflow, Overland Flow, Displacement of groundwater",6.0,Infiltration,Infiltration,Exfiltration,Exfiltration,Subsurface flow,Subsurface stormflow,Overland flow,Overland flow,Pre-event water,Displacement of groundwater,Stream runoff,Channel flow,,,,,,,,,,,,,,,,,2.0,"Soil water storage, Channel storage",2.0,Shallow soil water,Soil water storage,Stream,Channel storage,,,,,,,,,,,,,,,,
98,"Nyquist, J. E., Toran, L., Pitman, L., Guo, L. & Lin, H. (2018) Testing the fill‐and‐spill model of subsurface lateral flow using ground‐penetrating radar and dye tracing. Vadose Zone J. 17(1), 1–13. Wiley. doi:10.2136/vzj2017.07.0142",https://doi.org/10.2136/vzj2017.07.0142,Susquehanna Shale Hills CZO - Shale Hills,11,"A refined fill-and-spill model with preferential flow (PF) processes occurring at the top of two layers (saprock and bedrock). In a hillslope with a thin soil cover underlain by a weathered bedrock (or saprock) layer, the bulk of the precipitation rapidly infiltrates soils and saprock and forms limited lateral PF on the soil–saprock interface. Lateral PF may take place through the horizontal fissures in the saprock and form return flow downslope. Once water encounters a fresh bedrock surface, a transient water table may perch at small depressions and then trigger lateral PF downslope.",https://acsess.onlinelibrary.wiley.com/cms/asset/77776f65-1e6a-435b-9f96-5a9847de293f/vzj2vzj2017070142-fig-0011-m.png,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Changes in slope,N,N,N,N,N,,,,Infiltration into soil,Infiltration,Limited lateral flow along fractured bedrock surface,Lateral macropore flow at soil horizons,Return flow,Return flow,Flow through lateral fissures in fractured bedrock,Pistonflow,Flow along fresh bedrock surface,Lateral macropore flow at soil-bedrock interface,Bedrock leakage,Infiltration into bedrock,,,,,,,,,,,,,,,,,,,,Soil,Soil water storage,transient water table may perch ,Perched water tables,small depressions,Bedrock hollows,,,,,,,,,,,,,,
99,"Kim, H., Gu, X. & Brantley, S. L. (2018) Particle fluxes in groundwater change subsurface shale rock chemistry over geologic time. Earth Planet. Sci. Lett. 500, 180–191. doi:10.1016/j.epsl.2018.07.031",https://doi.org/10.1016/j.epsl.2018.07.031,Susquehanna Shale Hills CZO - Shale Hills,1b,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0012821X18304370-gr001_lrg.jpg,Not open-access,N,N,N,1,N,N,1,N,N,N,N,Geological types described,Describes fracturing/weathering,Slopes described,Changes in slope,N,N,Unknown items identified,Question marks show height of regional groundwater,Scale bar,,,, Preferential flow paths through soil macropores,Lateral macropore flow,Preferential flow paths through interfaces of the soil horizons,Lateral macropore flow at soil horizons,Preferential flow paths at the interface of the highly fractured rock and less weathered rock,Lateral macropore flow at soil-bedrock interface,Interflow,Subsurface stormflow,regional groundwater,Regional groundwater flow,,,,,,,,,,,,,,,,,,,,,,groundwater tables,Water table,regional groundwater,Regional Groundwater storage,,,,,,,,,,,,,,,,
100,"Ross, C. A., Ali, G., Bansah, S. & Laing, J. R. (2017) Evaluating the Relative Importance of Shallow Subsurface Flow in a Prairie Landscape. Vadose Zone J. 16(5), 1–20. GeoScienceWorld. doi:10.2136/vzj2016.10.0096",https://doi.org/10.2136/vzj2016.10.0096,Catfish Creek watershed,8,Not open-access,https://gsw.silverchair-cdn.com/gsw/Content_public/Journal/vzj/16/5/10.2136_vzj2016.10.0096/1/vzj2016.10.0096fig8.jpeg?Expires=1683029220&Signature=Mc9o6gKJh7HfP~wqSbiUexDG87l8Q20O6cEhdNDMJ6YDOEqccvMPK-7oiASZGByxNswMDqeHstxgABS9y-aqbRBqDspSiPJgkRxKW3XQWG4Ej-hHf1E7D1EE~ntHJM9ED5QjtnPHuvnMiAXUj1YomhDEKqd0~~Yy0R7Iik41OQt6DgDCqdDowkZcasL0-S0HQrQU1cv84oY4Lro92zaE5o30K0ecoTzEd9s1yCl8AXCkJAfm5NaMsp-IWITpYhz3ey8w0a9y~cnA8MdKCZT8aisZVJu4oroJf54OTkBm8wvazI8SGBZunOZv0FKIX7krIKjNNpiT6BT70BLQj~zYsA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,Not open-access,N,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Saturation-excess overland flow,Saturation excess flow,Hortonian overland flow,Infiltration excess flow,Macropore flow,Lateral matrix flow,Transmissivity feedback,Lateral matrix flow,Return flow,Return Flow,,,,,,,,,,,,,,,,,,,,,,Water table position,Water table,Channel,Channel storage,Water table rise,Water table rise,,,,,,,,,,,,,,
101,"Wallace, S., Biggs, T., Lai, C.T. and McMillan, H., 2021. Tracing sources of stormflow and groundwater recharge in an urban, semi-arid watershed using stable isotopes. Journal of Hydrology: Regional Studies, 34, p.100806.",https://doi.org/10.1016/j.ejrh.2021.100806,"San Diego River watershed, California",12,"Conceptual model of the San Diego River, tributaries and groundwater, showing the dominant water sources according to the time of year. Blue arrows represent sources of river water, purple arrows represent sources of groundwater.",https://ars.els-cdn.com/content/image/1-s2.0-S2214581821000355-gr12_lrg.jpg,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,Catchment spatial scale,Tributary vs main stem,2,Season,First Flush/Early Winter/Late Winter,3,Vegetation described,Icons only,N,N,N,N,N,N,N,N,N,N,N,,,,Impervious surface flow,IE flow from impermeable areas,Baseflow,Gaining stream,Connected shallow groundwater,Connectivity,Stormflow,Quickflow,Groundwater contributions from stormflow,Losing stream,,,,,,,,,,,,,,,,,,,,,,Ponds,Lake storage,Channel,Channel storage,Groundwater,Groundwater storage,,,,,,,,,,,,,,
102,"Oldham, L. D., Freer, J., Coxon, G., Howden, N., Bloomfield, J. P. & Jackson, C. (2023) Evidence-based requirements for perceptualising intercatchment groundwater flow in hydrological models. Hydrol. Earth Syst. Sci. 27(3), 761–781. Copernicus GmbH. doi:10.5194/hess-27-761-2023",https://doi.org/10.5194/hess-27-761-2023,Thames at Kingston,8,"Perceptual model of the Thames catchment, including key modelling-related groundwater–surface water interaction features and characteristics. The Jurassic limestone, Chalk and Lower Greensand aquifers are (for modelling purposes) hydraulically disconnected. Contains British Geological Survey data © UKRI 2023.",https://hess.copernicus.org/articles/27/761/2023/hess-27-761-2023-avatar-web.png,CC BY,https://creativecommons.org/licenses/by/4.0/,Soil or Geology,Three aquifers with different geology,3,N,N,1,N,N,N,N,Geological types described,Describes geological units,N,N,N,N,N,N,Scale bar ,,,,Losing river section,Losing stream,Gaining river section,Gaining stream,Intercatchment groundwater flow,Water loss across surface watershed boundary,spring discharge,Springflow,Regional GW flow,Regional groundwater flow,,,,,,,,,,,,,,,,,,,,,,aquifers,Groundwater storage,,,,,,,,,,,,,,,,,,
103,"Macpherson, G.L. and Sophocleous, M., 2004. Fast ground-water mixing and basal recharge in an unconfined, alluvial aquifer, Konza LTER Site, Northeastern Kansas. Journal of Hydrology, 286(1-4), pp.271-299.",https://doi.org/10.1016/j.jhydrol.2003.09.016,"Konza Prairie LTER, Kansas",9,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0022169403003883-gr9.jpg,Not open-access,N,N,N,1,Event,Pre-recharge/Recharge/Early post-recharge/Later post-recharge,4,Vegetation described,Icons only,Soil types described,Alluvial sediment texture,Geological types described,Bedrock types,Slopes described,Changes in slope,N,N,N,N,N,,,,Unsaturated zone water movement,Vertical drainage to groundwater,Bedrock aquifer water movement,Groundwater flow,Unsaturated zone water entrained by aquifer water,Mixing,Bedrock water leaking into floodplain aquifer,Gaining stream,Air flow,Vapor diffusion,,,,,,,,,,,,,,,,,,,,,,aquifers,Groundwater storage,fractures,Bedrock fracture storage,Water table,Water table,Rise in Water table,Water table rise,Water table begins to fall,Water table fall,,,,,,,,,,
104,"Aubry-Wake, C., 2022. From processes to predictions in hydrological modelling of glacierized basins (Doctoral dissertation, University of Saskatchewan).",https://harvest.usask.ca/handle/10388/14290,Peyto Glacier Research Basin,1.1,Conceptual illustration of the range of hydrological processes occurring in a glacierized alpine basin. Mass and energy fluxes are shown in bold and storages are in italic.,,Copyright Caroline Aubry-Wake. Permission granted to re-use.,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,Firn/snow melt,Firnmelt,Blowing snow,Snow drifting,Ice melt,Glacier icemelt,Snow melt,Snowmelt,Infiltration,Infiltration,Groundwater flow,Groundwater flow,Streamflow,Channel flow,Sub-debris melt,Glacier melt,,,,,,,,,,,,,,,,Snowpack storage,Snow storage,Ice storage,Glacier storage,Moraine storage,Soil water storage,Surface ponding,Depression storage,Stream,Channel Storage,,,,,,,,,,
105,"Helbig, M., Boike, J., Langer, M., Schreiber, P., Runkle, B.R. and Kutzbach, L., 2013. Spatial and seasonal variability of polygonal tundra water balance: Lena River Delta, northern Siberia (Russia). Hydrogeol. J, 21(1), pp.133-147.",https://doi.org/10.1007/s10040-012-0933-4,"Samoylov Island, Lena River Delta, Siberia",10,Not open-access,https://link.springer.com/article/10.1007/s10040-012-0933-4/figures/10,Not open-access,N,Topography,Degraded/intact rims,2,Season,Post-melt/early summer*3/late summer,5,Vegetation described,Vegetation types labelled,N,N,N,N,N,N,N,N,N,N,N,,,,Slow subsurface flowpaths,Subsurface stormflow,Rapid subsurface flowpaths,Groundwater flow,ET,Evapotranspiration,,,,,,,,,,,,,,,,,,,,,,,,,,Water table,Water table,Frost table,Seasonal soil freeze/thaw,Surface water storage ,Channel storage,Ice,Permafrost storage,,,,,,,,,,,,
106,"Munk, L.A., Boutt, D.F., Moran, B.J., McKnight, S.V. and Jenckes, J., 2021. Hydrogeologic and Geochemical Distinctions in Freshwater‐Brine Systems of an Andean Salar. Geochemistry, Geophysics, Geosystems, 22(3), p.e2020GC009345.",https://doi.org/10.1029/2020GC009345,Salar de Atacama,8,Not open-access,https://agupubs.onlinelibrary.wiley.com/cms/asset/4d71e11b-1591-4a95-b59d-b1c59428639c/ggge22423-fig-0008-m.jpg,Not open-access,N,N,N,1,N,N,1,Vegetation described,Icons only,N,N,Geological types described,Bedrock types including hydraulic conductivity,Slopes described,Changes in slope,3D graphics,3D graphic,N,N,Scale bar ,,,,Evaporation,Evaporation,Fresh water,Infiltration  ,Fresh groundwater ,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,,,,Lagoons,Depression storage,Water table,Water table,Secondary porosity,Bedrock fracture storage,Groundwater,Groundwater storage,,,,,,,,,,,,
107,"Pourrier, J., Jourde, H., Kinnard, C., Gascoin, S. and Monnier, S., 2014. Glacier meltwater flow paths and storage in a geomorphologically complex glacial foreland: the case of the Tapado glacier, dry Andes of Chile (30 S). Journal of Hydrology, 519, pp.1068-1083.",https://doi.org/10.1016/j.jhydrol.2014.08.023,Tapado catchment,12,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0022169414006337-gr12_lrg.jpg,Not open-access,N,N,N,1,N,N,1,N,N,N,N,Geological types described,Bedrock types,Slopes described,Changes in slope,N,N,N,N,Scale bar ,,,,Springs,Springflow,Surface stream,Channel flow,Superficial flow,Overland flow,Underground fast and concentrated flow,Macropore flow within snowpack,Underground slow and diffuse flow,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,Piezometric level,Water table,Aquifer,Groundwater storage,Glacier,Glacier storage,Ice lenses,Formation of layers/lenses,Perenially-frozen ice-rock mixture,Permafrost storage,,,,,,,,,,
108,"Sánchez‐Murillo, R., Gazel, E., Schwarzenbach, E.M., Crespo‐Medina, M., Schrenk, M.O., Boll, J. and Gill, B.C., 2014. Geochemical evidence for active tropical serpentinization in the Santa Elena Ophiolite, Costa Rica: An analog of a humid early Earth?. Geochemistry, Geophysics, Geosystems, 15(5), pp.1783-1800.",https://doi.org/10.1002/2013GC005213,Santa Elena Ophiolite,8,Not open-access,https://agupubs.onlinelibrary.wiley.com/cms/asset/f99812b1-af08-4159-b6e5-9de9bee7379e/ggge20449-fig-0008-m.jpg,Not open-access,N,N,N,1,N,N,1,Vegetation described,Icons only,N,N,N,N,Slopes described,Changes in slope,N,N,N,N,N,,,,Infiltration  ,Infiltration,Deep percolation,Vertical drainage to groundwater,Deep GW,Groundwater flow,Serpertinized fracture flow,Pistonflow,Alkaline runoff,Overland flow,springs,Springflow,Deep groundwater flow feeds the creek,Gaining stream,evapotranspiration,Evapotranspiration,,,,,,,,,,,,,,,,creek,Channel storage,deep groundwater,Groundwater storage,Riparian pools,Depression storage,,,,,,,,,,,,,,
109,"Webb, R.W., Fassnacht, S.R. and Gooseff, M.N., 2018. Hydrologic flow path development varies by aspect during spring snowmelt in complex subalpine terrain. The Cryosphere, 12(1), pp.287-300.",https://doi.org/10.5194/tc-12-287-2018,"Dry Lake, Routt National Forest, Colorado",7,"Conceptual model of flow paths that develop during early spring snowmelt at the south aspect hillslope (SM), toe of south aspect slope (ST), flat aspect (FA), toe of north aspect slope (NT), low on the north aspect hillslope (NL), and high on the north aspect hillslope (NH).",,CC BY,https://creativecommons.org/licenses/by/3.0/,Hillslope position,Aspect and slope position,5,N,N,1,Vegetation described,Icons only,N,N,N,N,Slopes described,Changes in slope,N,N,N,N,N,,,,Snowmelt,Snowmelt,Infiltrates,Infiltration,Wetting front across soil-bedrock interface towards stream,Lateral matrix flow at soil-bedrock interface,saturated overland flow,Saturation excess flow,Snowmelt is laterally diverted at the snow-soil interface,Basal flow,,,,,,,,,,,,,,,,,,,,,,Snow ,Snow storage,Soil,Soil water storage,water table rises,Water table rise,stream,channel storage,,,,,,,,,,,,
110,"Koit, O., Tarros, S., Pärn, J., Küttim, M., Abreldaal, P., Sisask, K., Vainu, M., Terasmaa, J., Retike, I. and Polikarpus, M., 2021. Contribution of local factors to the status of a groundwater dependent terrestrial ecosystem in the transboundary Gauja-Koiva River basin, North-Eastern Europe. Journal of Hydrology, 600, p.126656.",https://doi.org/10.1016/j.jhydrol.2021.126656,Matsi spring fen,19,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0022169421007046-gr19_lrg.jpg,Not open-access,N,N,N,1,N,N,1,Vegetation described,Icons only,N,N,Geological types described,Describes geological units,Slopes described,Changes in slope,N,N,N,N,Scale bar ,,,,Interflow,Subsurface stormflow,Baseflow,Gaining stream,Groundwater recharge,Groundwater flow,spring  ,Springflow,,,,,,,,,,,,,,,,,,,,,,,,river,Channel storage,Aquifer,Groundwater storage,water table,Water table,fen,Soil saturation,confining layer,Perched water tables,,,,,,,,,,
111,"Penny, G., Srinivasan, V., Apoorva, R., Jeremiah, K., Peschel, J., Young, S. and Thompson, S., 2020. A process‐based approach to attribution of historical streamflow decline in a data‐scarce and human‐dominated watershed. Hydrological Processes, 34(8), pp.1981-1995.",https://doi.org/10.1002/hyp.13707,TG Halli watershed,9a,Not open-access,https://onlinelibrary.wiley.com/cms/asset/8285cc55-f84f-49c7-b513-5c0dfcadeb12/hyp13707-fig-0009-m.jpg,Not open-access,N,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,infiltration excess run-off,Infiltration excess flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
